epoch,lr,train_total,train_loss1,train_loss2,train_loss3,valid_total,valid_loss1,valid_loss2,valid_loss3,valid_dice
1,0.0005,25170.835738556296,2.952301622191562,21010.046569003334,4157.835218405422,87.52807150946722,0.4820435817042987,58.6484752231174,28.395622147454155,0.5860518974011291
2,0.0005,169.63904354240321,-0.7668800812356079,124.0606674393521,46.34250742272486,19.28590965270996,-1.7457120551003351,3.058672229448954,17.969227472941082,0.6355546530151989
3,0.0005,14.818145462229282,-2.005298830285857,3.169357443157631,13.64961307863646,11.254389180077446,-2.2925739818149142,1.2273698714044359,12.314520517985025,0.784414785887212
4,0.0005,8.352202463753615,-2.3484038212631324,2.112862908387486,8.5818190574646,5.7936266793145075,-2.453869170612759,1.6652341551250882,6.575558185577393,0.8431537065009012
5,0.0005,6.2321390139905715,-2.4930615002595924,1.7761023617997955,6.942048422897918,5.767022318310207,-2.6381693416171603,1.869447370370229,6.5278927485148115,0.8320977542146193
6,0.0005,5.5627554579626155,-2.6295287065868136,1.7156535070153731,6.468492061276979,7.71121437019772,-2.724781314531962,1.7551064027680292,8.671468019485474,0.8205142695180997
7,0.0005,6.54677444168284,-2.6809085999863056,1.6940954350217987,7.524826424031318,9.930075181855095,-2.775101582209269,1.7866372466087341,10.909156839052836,0.8029783601349121
8,0.0005,5.259177410149876,-2.7036964259570158,1.6533621911761127,6.3002555792844745,5.348957048522101,-2.7274319529533386,1.7345205479198031,6.3323085572984485,0.7705516656575147
9,0.0005,3.788317209557642,-2.721566310411767,1.6168511547619784,4.883488015283512,55.615228427781,-2.559237904018826,1.6374505228466458,56.52794072363112,0.7629238340038673
10,0.0005,4.012917114209525,-2.733147832411754,1.5689292089848579,5.167408786242521,3.3436675336625843,-2.8002921607759266,1.4668493469556172,4.666370789210002,0.8398620276749486
11,0.0005,3.252243645583527,-2.7608794954758658,1.5581758037398132,4.445059918150117,23.766618649164837,-2.7990562518437705,1.620702862739563,24.93458992905087,0.830252036725606
12,0.0005,3.3701311515856394,-2.7624254166325435,1.5643488108357297,4.558134124248842,5.630483031272888,-2.8468220896191068,1.4230860008133783,7.0436422030131025,0.8492380892506838
13,0.0005,3.0418139862108835,-2.7814844952353948,1.5107396463804608,4.302423130107831,7.463370627827114,-2.820092651579115,1.5297127697202895,8.743365327517191,0.8086735248393365
14,0.0005,2.6819705208645592,-2.8035296880746188,1.4724840800973433,4.0028513322902635,18.373022589418625,-2.82882657315996,1.3639471464686923,19.827159259054397,0.8442902828368263
15,0.0005,2.0101972999452036,-2.8179374254202543,1.4480724138549612,3.3698021037669124,11.073859459824032,-2.8523761298921375,1.3663303454717,12.54921367433336,0.8451311911401199
16,0.00035,2.3750896906550927,-2.8239905834198,1.425022775613809,3.763815683654592,12.038321197032928,-2.8300418986214533,1.1434450348218281,13.71453418996599,0.8285928796839637
17,0.00035,1.6832252046729945,-2.84168295618854,1.389331375496297,3.1252540727204914,8.44999294479688,-2.8846091561847262,1.3332272569338481,9.990568849775526,0.8485569441215077
18,0.00035,1.531714747978162,-2.851548246190518,1.359615848034243,3.0133114525034457,9.200950539774365,-2.8425645563337536,1.3204913205570645,10.71235564019945,0.8353947283043062
19,0.00035,1.2988960561873037,-2.85907961145232,1.3257268818118904,2.821866225592698,7.038105544116762,-2.892207940419515,1.2698444922765095,8.649695992469788,0.8350438545046832
20,0.00035,1.2493020620527147,-2.8667880613592605,1.2892528591276724,2.81645816489111,10.241176035669115,-2.8739241626527576,1.2919485237863328,11.812181446287367,0.8280887216641808
21,0.00035,1.012340796899192,-2.877307267128667,1.2534129227264017,2.625753369512437,13.417888078424665,-2.7807454268137612,1.2095897992451985,14.979341612921822,0.8494855207800037
22,0.000245,0.8328969855851764,-2.876249313354492,1.2230458410480354,2.4756281345705444,12.123657290306356,-2.9131728410720825,1.1718583438131545,13.854004621505737,0.8404337978596609
23,0.000245,0.636533411997783,-2.907064618943613,1.1937985284419,2.339249538469918,9.15562690830686,-2.931182477209303,1.1183506184154086,10.957060721185472,0.83695159486162
24,0.000245,0.46494462661728075,-2.9223352172706702,1.1497574833374988,2.226877619948568,7.201306915324595,-2.9355745712916055,1.097814420859019,9.027951326635149,0.8364037310928162
25,0.000245,0.34545134069233,-2.92700654947305,1.1096079764486868,2.1521281984787954,9.602016046125856,-2.9421374665366278,1.0835692816310458,11.449707018004524,0.8481328136291695
26,0.000245,0.18599725425054756,-2.9298404289197317,1.062547873092603,2.0425379502622385,6.466388499985139,-2.9219926595687866,1.0355566210216947,8.341100043720669,0.8474526870228033
27,0.000245,0.053687920687790915,-2.943626310251936,1.0394283246390428,1.9470871868012827,9.229097560462025,-2.9491091304355197,0.967981669637892,11.199123660723368,0.8419123692365391
28,0.0001715,-0.11397946677819083,-2.9491929645779766,0.9807260783412789,1.8435835551611985,4.7293654648173185,-2.959389249483744,0.9945665134323968,6.68249773979187,0.8430127279782493
29,0.0001715,-0.27704385359170314,-2.9564549711686148,0.939199366147005,1.7292957577524306,5.626917032731904,-2.9684335125817194,0.8696509136093987,7.714599443806542,0.8514881392268661
30,0.0001715,-0.4412132042542666,-2.973571028890489,0.8903902240946323,1.6309179746651952,3.9159463991721473,-2.9804546568128796,0.8416026333967844,6.042986505561405,0.845340264817783
31,0.0001715,-0.5930889287515532,-2.979708055906658,0.8422627441490753,1.5332665111445174,3.402769129309389,-2.9842271407445273,0.795690506696701,5.579660932223002,0.8471848795018552
32,0.0001715,-0.7296095545627649,-2.9872445848923697,0.7917592834822739,1.4546971034400071,3.2022031934724913,-2.9778000911076865,0.7513527141677009,5.416261865033044,0.8453015157432229
33,0.0001715,-0.8971523340744308,-2.9977750476402574,0.7415208748624295,1.347847494897963,2.5827724006440906,-2.9880773226420083,0.7075333164797889,4.851796607176463,0.8479152699577566
34,0.0001715,-1.043708470803273,-3.0055036122285865,0.6898419374152075,1.2606771112997321,1.6524973147445254,-3.0142073896196155,0.6709301471710205,3.9840544131067066,0.8529904064159983
35,0.0001715,-1.197315025178692,-3.019014195550846,0.6420748113076898,1.1682617287092572,1.0521344012684293,-3.00239630540212,0.6062388088968065,3.436630540423923,0.8481989010128111
36,0.0001715,-1.3497474367105509,-3.021014862422702,0.5852508333664906,1.074595320073864,0.18149354722764757,-3.0203765763176813,0.5655272834830813,2.624280939499537,0.857640478532888
37,0.0001715,-1.506281480004516,-3.0344743970074233,0.5346541582029077,0.9820304565791842,-0.08950677845213148,-3.039166662428114,0.5074483553568522,2.430188579691781,0.8579838988639708
38,0.0001715,-1.6516732686682591,-3.0408357970322233,0.4856382898892028,0.8919718544694442,-0.6284555594126383,-3.041881481806437,0.4655413130919139,1.9358222020996942,0.8590043309396397
39,0.0001715,-1.8078897059718264,-3.0564717129815984,0.43471544415135926,0.8022334221043165,-1.124390021380451,-3.049655463960436,0.4070455531279246,1.5063200427426233,0.8617408348697242
40,0.0001715,-1.9640675843516482,-3.072723117055772,0.3851717389837096,0.7117669061769413,-1.443498185939259,-3.001194265153673,0.36148205565081704,1.1844578219784632,0.8636917268056913
41,0.0001715,-2.1045849398721623,-3.0780811581430556,0.3372998686530922,0.6243647450133215,-1.7785564528571234,-3.0670460727479725,0.32173407905631596,0.9544598658879598,0.8598112297245789
42,0.0001715,-2.2276126312304148,-3.069943732853177,0.2951874865006797,0.5352624002136762,-2.0241320265663996,-3.068827655580309,0.27308930622206795,0.7591438144445419,0.862598232958232
